algortihm	iteration	k	macro_f1_score	duration
basic	1	25	0.3559449487	15.5737900734
kmeansplusplus	1	25	0.35982539	14.3334610462
custom	1	25	0.4138621232	25.8339600563
basic	1	50	0.4913138739	32.7080640793
kmeansplusplus	1	50	0.508948062	31.1378979683
custom	1	50	0.5153466698	29.871986866
basic	1	75	0.5562005303	86.9085390568
kmeansplusplus	1	75	0.5214125034	51.8191969395
custom	1	75	0.5634742372	51.7930970192
basic	1	100	0.5734450735	88.2483129501
kmeansplusplus	1	100	0.5500282559	55.6844558716
custom	1	100	0.6409886375	48.6505119801
basic	1	125	0.6427792136	76.5399620533
kmeansplusplus	1	125	0.6047287943	127.376672983
custom	1	125	0.6119669436	64.5260710716
basic	1	150	0.6039319634	92.4291901588
kmeansplusplus	1	150	0.6349937876	124.464812994
custom	1	150	0.5871647572	77.348528862
basic	1	175	0.6089193478	74.0479187965
kmeansplusplus	1	175	0.565996215	91.0292389393
custom	1	175	0.6511250421	112.051650047
basic	1	200	0.6051191461	93.8280141354
kmeansplusplus	1	200	0.6217967083	113.175781965
custom	1	200	0.6189781218	105.680186987
basic	1	5	0.1121220783	
kmeansplusplus	1	5	0.1039696811	
custom	1	5	0.1173596278	
basic	1	10	0.2020123297	
kmeansplusplus	1	10	0.1949247242	
custom	1	10	0.2142683972	
basic	1	15	0.26078056	
kmeansplusplus	1	15	0.2728282597	
custom	1	15	0.2863087478	
basic	1	20	0.3490040283	
kmeansplusplus	1	20	0.2864115269	
custom	1	20	0.3382016856	
basic	1	25	0.3626399857	
kmeansplusplus	1	25	0.3869551839	
custom	1	25	0.3918987222	
basic	1	30	0.4215768018	
kmeansplusplus	1	30	0.4068115196	
custom	1	30	0.4416324016	
basic	1	35	0.4374190988	
kmeansplusplus	1	35	0.4865170612	
custom	1	35	0.4716795965	
basic	1	40	0.4718847817	
kmeansplusplus	1	40	0.5071793992	
custom	1	40	0.5189274512	
basic	1	45	0.456927	
kmeansplusplus	1	45	0.513167281	
custom	1	45	0.538259679	
basic	1	50	0.5237870864	
kmeansplusplus	1	50	0.4910234955	
custom	1	50	0.5489462952	
basic	1	55	0.5385085915	
kmeansplusplus	1	55	0.5152250876	
custom	1	55	0.5594092153	
basic	1	60	0.5466798727	
kmeansplusplus	1	60	0.5237724389	
custom	1	60	0.5880698235	
basic	1	65	0.5286038403	
kmeansplusplus	1	65	0.5711852914	
custom	1	65	0.6230689325	
basic	1	70	0.5869908024	
kmeansplusplus	1	70	0.5332645249	
custom	1	70	0.6013663664	
basic	1	75	0.5700916909	
kmeansplusplus	1	75	0.5791464243	
custom	1	75	0.6177634047	
basic	1	80	0.0285425539	
kmeansplusplus	1	80	0.5783648572	
custom	1	80	0.6063450914	
basic	1	85	0.5917401195	
kmeansplusplus	1	85	0.6067863615	
custom	1	85	0.6041216236	
basic	1	90	0.5790100959	
kmeansplusplus	1	90	0.5651829141	
custom	1	90	0.6234087782	
basic	1	95	0.594409464	
kmeansplusplus	1	95	0.6021423526	
custom	1	95	0.6390821287	
basic	1	100	0.6358502115	
kmeansplusplus	1	100	0.5928547784	
custom	1	100	0.6452024253	
basic	1	105	0.5770437939	
kmeansplusplus	1	105	0.63170746	
custom	1	105	0.6685286322	
basic	1	110	0.624469855	
kmeansplusplus	1	110	0.6141939959	
custom	1	110	0.6155191518	
basic	1	115	0.6106193661	
kmeansplusplus	1	115	0.6115105262	
custom	1	115	0.6454759325	
basic	1	120	0.6396905983	
kmeansplusplus	1	120	0.6107126946	
custom	1	120	0.6365755818	
basic	1	125	0.6113314897	
kmeansplusplus	1	125	0.5921391144	
custom	1	125	0.6587765296	
basic	1	130	0.594938041	
kmeansplusplus	1	130	0.6460408476	
custom	1	130	0.6145580087	
basic	1	135	0.5999278244	
kmeansplusplus	1	135	0.5915719147	
custom	1	135	0.6734476329	
basic	1	140	0.6578418217	
kmeansplusplus	1	140	0.6117639926	
custom	1	140	0.6529403577	
basic	1	145	0.0285425539	
kmeansplusplus	1	145	0.6058689008	
custom	1	145	0.6251598969	
basic	1	150	0.5656872718	
