	algortihm	iteration	k	macro_f1_score
0	basic	1	5	0.112122078263
1	kmeansplusplus	1	5	0.103969681146
2	custom	1	5	0.117359627781
3	basic	1	10	0.202012329682
4	kmeansplusplus	1	10	0.194924724233
5	custom	1	10	0.214268397223
6	basic	1	15	0.260780559974
7	kmeansplusplus	1	15	0.272828259704
8	custom	1	15	0.286308747823
9	basic	1	20	0.349004028341
10	kmeansplusplus	1	20	0.286411526911
11	custom	1	20	0.338201685558
12	basic	1	25	0.362639985688
13	kmeansplusplus	1	25	0.386955183857
14	custom	1	25	0.391898722175
15	basic	1	30	0.42157680179
16	kmeansplusplus	1	30	0.406811519607
17	custom	1	30	0.441632401578
18	basic	1	35	0.437419098825
19	kmeansplusplus	1	35	0.486517061191
20	custom	1	35	0.471679596545
21	basic	1	40	0.471884781719
22	kmeansplusplus	1	40	0.507179399183
23	custom	1	40	0.518927451236
24	basic	1	45	0.456927000038
25	kmeansplusplus	1	45	0.513167281029
26	custom	1	45	0.538259679012
27	basic	1	50	0.523787086388
28	kmeansplusplus	1	50	0.49102349547
29	custom	1	50	0.548946295171
30	basic	1	55	0.538508591502
31	kmeansplusplus	1	55	0.515225087564
32	custom	1	55	0.559409215312
33	basic	1	60	0.546679872658
34	kmeansplusplus	1	60	0.523772438947
35	custom	1	60	0.588069823506
36	basic	1	65	0.528603840283
37	kmeansplusplus	1	65	0.571185291394
38	custom	1	65	0.623068932489
39	basic	1	70	0.586990802375
40	kmeansplusplus	1	70	0.533264524944
41	custom	1	70	0.601366366369
42	basic	1	75	0.570091690887
43	kmeansplusplus	1	75	0.579146424258
44	custom	1	75	0.617763404727
45	basic	1	80	0.0285425539371
46	kmeansplusplus	1	80	0.578364857248
47	custom	1	80	0.606345091372
48	basic	1	85	0.591740119482
49	kmeansplusplus	1	85	0.606786361489
50	custom	1	85	0.604121623571
51	basic	1	90	0.579010095943
52	kmeansplusplus	1	90	0.565182914081
53	custom	1	90	0.623408778198
54	basic	1	95	0.594409464036
55	kmeansplusplus	1	95	0.602142352629
56	custom	1	95	0.639082128675
57	basic	1	100	0.635850211537
58	kmeansplusplus	1	100	0.592854778427
59	custom	1	100	0.645202425261
60	basic	1	105	0.577043793915
61	kmeansplusplus	1	105	0.631707460014
62	custom	1	105	0.668528632183
63	basic	1	110	0.624469854967
64	kmeansplusplus	1	110	0.614193995894
65	custom	1	110	0.615519151845
66	basic	1	115	0.610619366101
67	kmeansplusplus	1	115	0.611510526162
68	custom	1	115	0.645475932528
69	basic	1	120	0.639690598338
70	kmeansplusplus	1	120	0.610712694571
71	custom	1	120	0.636575581764
72	basic	1	125	0.611331489697
73	kmeansplusplus	1	125	0.59213911441
74	custom	1	125	0.658776529609
75	basic	1	130	0.594938040954
76	kmeansplusplus	1	130	0.646040847575
77	custom	1	130	0.614558008735
78	basic	1	135	0.59992782439
79	kmeansplusplus	1	135	0.591571914665
80	custom	1	135	0.673447632924
81	basic	1	140	0.657841821688
82	kmeansplusplus	1	140	0.611763992555
83	custom	1	140	0.652940357652
84	basic	1	145	0.0285425539371
85	kmeansplusplus	1	145	0.605868900837
86	custom	1	145	0.625159896939
87	basic	1	150	0.565687271754
